id,sensorgas,detector_id,sensor_id
166,HC,42,1679
167,LE,42,40
168,O2,42,590
169,CO,43,1135
170,HC,43,1680
171,LE,43,41
172,O2,43,591
173,CO,44,1136
174,HC,44,1681
175,LE,44,42
176,O2,44,592
177,CO,45,1137
178,HC,45,1682
179,LE,45,43
180,O2,45,593
181,CO,46,1138
182,HC,46,1683
183,LE,46,44
184,O2,46,594
185,CO,47,1139
186,HC,47,1684
187,LE,47,45
188,O2,47,595
189,CO,48,1140
190,HC,48,1685
191,LE,48,46
192,O2,48,596
193,CO,49,1141
194,HC,49,1686
195,LE,49,47
196,O2,49,597
197,CO,50,1142
198,HC,50,1687
199,LE,50,48
200,O2,50,598
201,CO,51,2472
202,HC,51,2435
203,LE,51,2471
204,O2,51,599
205,CO,52,1144
206,HC,52,1689
207,LE,52,50
208,O2,52,600
209,CO,53,1145
210,HC,53,1690
211,LE,53,51
212,O2,53,601
213,CO,54,1146
214,HC,54,2445
215,LE,54,52
216,O2,54,2444
217,CO,55,1147
218,HC,55,1692
219,LE,55,53
220,O2,55,603
221,CO,56,1148
222,HC,56,1693
223,LE,56,54
224,O2,56,604
225,CO,57,1149
226,HC,57,1694
227,LE,57,55
228,O2,57,605
229,CO,58,1150
230,HC,58,1695
231,LE,58,56
232,O2,58,606
233,CO,59,1151
234,HC,59,1696
235,LE,59,57
236,O2,59,607
237,CO,60,1152
238,HC,60,1697
239,LE,60,58
240,O2,60,608
241,CO,61,
242,HC,61,
243,LE,61,
244,O2,61,
245,CO,62,1153
246,HC,62,1698
247,LE,62,59
248,O2,62,609
249,CO,63,1154
250,HC,63,1699
251,LE,63,60
252,O2,63,610
253,CO,64,
254,HC,64,
255,LE,64,
256,O2,64,
257,CO,65,1155
258,HC,65,1700
259,LE,65,61
260,O2,65,611
261,CO,66,1156
262,HC,66,1701
263,LE,66,62
264,O2,66,612
265,CO,67,
266,HC,67,
267,LE,67,
268,O2,67,
269,CO,68,1157
270,HC,68,1702
271,LE,68,63
272,O2,68,613
273,CO,69,1158
274,HC,69,1703
275,LE,69,64
276,O2,69,614
277,CO,70,1159
278,HC,70,1704
279,LE,70,65
280,O2,70,615
281,CO,71,1160
282,HC,71,1705
283,LE,71,66
284,O2,71,616
285,CO,72,1161
286,HC,72,1706
287,LE,72,67
288,O2,72,617
289,CO,73,1162
290,HC,73,1707
291,LE,73,68
292,O2,73,618
293,CO,74,1163
294,HC,74,1708
295,LE,74,69
296,O2,74,619
297,CO,75,1164
298,HC,75,1709
299,LE,75,70
300,O2,75,620
301,CO,76,1165
302,HC,76,1710
303,LE,76,71
304,O2,76,621
305,CO,77,1166
306,HC,77,1711
307,LE,77,72
308,O2,77,622
309,CO,78,1167
310,HC,78,1712
311,LE,78,73
312,O2,78,623
313,CO,79,1168
314,HC,79,1713
315,LE,79,74
316,O2,79,624
317,CO,80,1169
318,HC,80,1714
319,LE,80,75
320,O2,80,625
321,CO,81,1170
322,HC,81,1715
323,LE,81,76
324,O2,81,626
325,CO,82,1171
326,HC,82,1716
327,LE,82,77
328,O2,82,627
329,CO,83,1172
330,HS,83,2123
331,LE,83,78
332,O2,83,628
333,CO,84,1173
334,HC,84,1717
335,LE,84,79
336,O2,84,629
337,CO,85,1174
338,HC,85,1718
339,LE,85,80
340,O2,85,
341,CO,86,1175
342,HC,86,1719
343,LE,86,81
344,O2,86,630
345,CO,87,1176
346,HC,87,1720
347,LE,87,82
348,O2,87,631
349,CO,88,1177
350,HC,88,1721
351,LE,88,83
352,O2,88,632
353,CO,89,1178
354,HC,89,1722
355,LE,89,84
356,O2,89,633
357,CO,90,1179
358,HC,90,1723
359,LE,90,85
360,O2,90,634
361,CO,91,1180
362,HC,91,1724
363,LE,91,86
364,O2,91,635
365,CO,92,1181
366,HC,92,1725
367,LE,92,87
368,O2,92,636
369,CO,93,1182
370,HC,93,1726
371,LE,93,88
372,O2,93,637
373,CO,94,2474
374,HC,94,2475
375,LE,94,2473
376,O2,94,638
377,CO,95,1184
378,HC,95,1728
379,LE,95,90
380,O2,95,639
381,CO,96,1185
382,HC,96,1729
383,LE,96,91
384,O2,96,640
385,CO,97,1186
386,HC,97,1730
387,LE,97,92
388,O2,97,641
389,CO,98,1187
390,HC,98,1731
391,LE,98,93
392,O2,98,642
393,CO,99,1188
394,HC,99,1732
395,LE,99,94
396,O2,99,643
397,CO,100,1189
398,HC,100,1733
399,LE,100,95
400,O2,100,644
401,CO,101,1190
402,HC,101,1734
403,LE,101,96
404,O2,101,645
405,CO,102,1191
406,HC,102,1735
407,LE,102,97
408,O2,102,646
409,CO,103,1192
410,HC,103,1736
411,LE,103,98
412,O2,103,647
413,CO,104,1193
414,HC,104,1737
415,LE,104,99
416,O2,104,648
417,CO,105,1194
418,HC,105,1738
419,LE,105,100
420,O2,105,649
421,CO,106,1195
422,HC,106,1739
423,LE,106,101
424,O2,106,650
425,CO,107,1196
426,HC,107,1740
427,LE,107,102
428,O2,107,651
429,CO,108,1197
430,HC,108,1741
431,LE,108,103
432,O2,108,652
433,CO,109,1198
434,HC,109,1742
435,LE,109,104
436,O2,109,653
437,CO,110,1199
438,HC,110,1743
439,LE,110,105
440,O2,110,654
441,CO,111,1200
442,HC,111,1744
443,LE,111,106
444,O2,111,655
445,CO,112,2491
446,HC,112,1745
447,LE,112,2490
448,O2,112,656
449,CO,113,2477
450,HC,113,2478
451,LE,113,2476
452,O2,113,657
453,CO,114,1203
454,HC,114,1747
455,LE,114,109
456,O2,114,658
457,CO,115,1204
458,HC,115,1748
459,LE,115,110
460,O2,115,659
461,CO,116,1205
462,HC,116,1749
463,LE,116,111
464,O2,116,660
465,CO,117,1206
466,HC,117,1750
467,LE,117,112
468,O2,117,661
469,CO,118,1207
470,HC,118,1751
471,LE,118,113
472,O2,118,662
473,CO,119,1208
474,HC,119,1752
475,LE,119,114
476,O2,119,663
477,CO,120,
478,HC,120,
479,LE,120,
480,O2,120,
481,CO,121,1209
482,HC,121,1753
483,LE,121,115
484,O2,121,664
485,CO,122,1210
486,HC,122,1754
487,LE,122,116
488,O2,122,665
489,CO,123,1211
490,HC,123,1755
491,LE,123,117
492,O2,123,666
493,CO,124,1212
494,HC,124,1756
495,LE,124,118
496,O2,124,667
497,CO,125,1213
498,HC,125,1757
499,LE,125,119
500,O2,125,668
501,CO,126,1214
502,HC,126,
503,LE,126,120
504,O2,126,669
505,CO,127,1215
506,HC,127,1758
507,LE,127,121
508,O2,127,670
509,CO,128,1216
510,HC,128,1759
511,LE,128,122
512,O2,128,671
513,CO,129,1217
514,HC,129,1760
515,LE,129,123
516,O2,129,672
517,CO,130,1218
518,HC,130,1761
519,LE,130,124
520,O2,130,673
521,CO,131,1219
522,HC,131,1762
523,LE,131,125
524,O2,131,674
525,CO,132,1220
526,HC,132,1763
527,LE,132,126
528,O2,132,675
529,CO,133,1221
530,HC,133,1764
531,LE,133,127
532,O2,133,676
533,CO,134,1222
534,HC,134,1765
535,LE,134,128
536,O2,134,677
537,CO,135,1223
538,HC,135,1766
539,LE,135,129
540,O2,135,678
541,CO,136,1224
542,HC,136,1767
543,LE,136,130
544,O2,136,679
545,CO,137,1225
546,HC,137,1768
547,LE,137,131
548,O2,137,680
549,CO,138,
550,HC,138,
551,LE,138,
552,O2,138,
553,CO,139,1226
554,HC,139,1769
555,LE,139,132
556,O2,139,681
557,CO,140,1227
558,HC,140,1770
559,LE,140,133
560,O2,140,682
561,CO,141,2466
562,HC,141,2467
563,LE,141,2465
564,O2,141,683
565,CO,142,1229
566,HC,142,1772
567,LE,142,135
568,O2,142,684
569,CO,143,1230
570,HC,143,1773
571,LE,143,136
572,O2,143,685
573,CO,144,1231
574,HC,144,1774
575,LE,144,137
576,O2,144,686
577,CO,145,1232
578,HC,145,1775
579,LE,145,138
580,O2,145,687
581,CO,146,1233
582,HC,146,1776
583,LE,146,139
584,O2,146,688
585,CO,147,1234
586,HC,147,1777
587,LE,147,140
588,O2,147,689
589,CO,148,1235
590,HC,148,1778
591,LE,148,141
592,O2,148,690
593,CO,149,
594,HC,149,
595,LE,149,
596,O2,149,
597,CO,150,1236
598,HC,150,1779
599,LE,150,142
600,O2,150,691
601,CO,151,1237
602,HC,151,1780
603,LE,151,143
604,O2,151,692
605,CO,152,1238
606,HC,152,1781
607,LE,152,144
608,O2,152,693
609,CO,153,1239
610,HC,153,1782
611,LE,153,145
612,O2,153,694
613,CO,154,1240
614,HC,154,1783
615,LE,154,146
616,O2,154,695
617,CO,155,1241
618,HC,155,1784
619,LE,155,147
620,O2,155,696
621,CO,156,2463
622,HC,156,2464
623,LE,156,2462
624,O2,156,697
625,CO,157,1243
626,HC,157,1786
627,LE,157,149
628,O2,157,698
629,CO,158,
630,HC,158,
631,LE,158,
632,O2,158,
633,CO,159,
634,HC,159,
635,LE,159,
636,O2,159,
637,CO,160,1244
638,HC,160,1787
639,LE,160,150
640,O2,160,699
641,CO,161,
642,HC,161,
643,LE,161,
644,O2,161,
645,CO,162,1245
646,HS,162,
647,LE,162,151
648,O2,162,700
649,CO,163,1246
650,HC,163,1788
651,LE,163,152
652,O2,163,701
653,CO,164,1247
654,HC,164,1789
655,LE,164,153
656,O2,164,702
657,CO,165,1248
658,HC,165,1790
659,LE,165,154
660,O2,165,703
661,CO,166,1249
662,HC,166,1791
663,LE,166,155
664,O2,166,704
665,CO,167,1250
666,HC,167,1792
667,LE,167,156
668,O2,167,705
669,CO,168,1251
670,HC,168,
671,LE,168,157
672,O2,168,706
673,CO,169,
674,HC,169,
675,LE,169,
676,O2,169,
677,CO,170,1252
678,HC,170,1793
679,LE,170,158
680,O2,170,707
681,CO,171,1253
682,HC,171,1794
683,LE,171,159
684,O2,171,708
685,CO,172,1254
686,HC,172,1795
687,LE,172,160
688,O2,172,709
689,CO,173,1255
690,HC,173,1796
691,LE,173,161
692,O2,173,710
693,CO,174,1256
694,HC,174,1797
695,LE,174,162
696,O2,174,711
697,CO,175,1257
698,HC,175,1798
699,LE,175,163
700,O2,175,712
701,CO,176,1258
702,HC,176,1799
703,LE,176,164
704,O2,176,713
705,CO,177,1259
706,HC,177,1800
707,LE,177,165
708,O2,177,714
709,CO,178,1260
710,HC,178,1801
711,LE,178,166
712,O2,178,715
713,CO,179,1261
714,HC,179,2446
715,LE,179,167
716,O2,179,2447
717,CO,180,1262
718,HC,180,1803
719,LE,180,168
720,O2,180,717
721,CO,181,1263
722,HC,181,1804
723,LE,181,169
724,O2,181,718
725,CO,182,1264
726,HC,182,1805
727,LE,182,170
728,O2,182,719
729,CO,183,1265
730,HC,183,1806
731,LE,183,171
732,O2,183,720
733,CO,184,1266
734,HC,184,1807
735,LE,184,172
736,O2,184,721
737,CO,185,1267
738,HC,185,1808
739,LE,185,173
740,O2,185,722
741,CO,186,1268
742,HC,186,1809
743,LE,186,174
744,O2,186,723
745,CO,187,1269
746,HC,187,1810
747,LE,187,175
748,O2,187,
749,CO,188,1270
750,HC,188,1811
751,LE,188,176
752,O2,188,724
753,CO,189,1271
754,HC,189,1812
755,LE,189,177
756,O2,189,725
757,CO,190,1272
758,HC,190,1813
759,LE,190,178
760,O2,190,726
761,CO,191,1273
762,HC,191,1814
763,LE,191,179
764,O2,191,727
765,CO,192,1274
766,HC,192,1815
767,LE,192,180
768,O2,192,728
769,CO,193,
770,HC,193,1816
771,LE,193,181
772,O2,193,
773,CO,194,
774,HC,194,
775,LE,194,
776,O2,194,
777,CO,195,1275
778,HC,195,1817
779,LE,195,182
780,O2,195,729
781,CO,196,1276
782,HC,196,1818
783,LE,196,183
784,O2,196,730
785,CO,197,1277
786,HC,197,1819
787,LE,197,184
788,O2,197,731
789,CO,198,1278
790,HC,198,1820
791,LE,198,185
792,O2,198,732
793,CO,199,1279
794,HC,199,1821
795,LE,199,186
796,O2,199,733
797,CO,200,1280
798,HC,200,1822
799,LE,200,187
800,O2,200,734
801,CO,201,1281
802,HC,201,1823
803,LE,201,188
804,O2,201,735
805,CO,202,1282
806,HC,202,1824
807,LE,202,189
808,O2,202,736
809,CO,203,1283
810,HC,203,1825
811,LE,203,
812,O2,203,737
813,CO,204,1284
814,HC,204,1826
815,LE,204,190
816,O2,204,738
817,CO,205,1285
818,HC,205,1827
819,LE,205,191
820,O2,205,739
821,CO,206,1286
822,HC,206,1828
823,LE,206,192
824,O2,206,740
825,CO,207,1287
826,HC,207,1829
827,LE,207,193
828,O2,207,741
829,CO,208,1288
830,HC,208,1830
831,LE,208,194
832,O2,208,742
833,CO,209,1289
834,HC,209,1831
835,LE,209,195
836,O2,209,743
837,CO,210,1290
838,HC,210,1832
839,LE,210,196
840,O2,210,744
841,CO,211,1291
842,HC,211,1833
843,LE,211,197
844,O2,211,745
845,CO,212,1292
846,HC,212,1834
847,LE,212,198
848,O2,212,746
849,CO,213,1293
850,HC,213,1835
851,LE,213,199
852,O2,213,747
853,CO,214,1294
854,HC,214,1836
855,LE,214,200
856,O2,214,748
857,CO,215,1295
858,HC,215,1837
859,LE,215,201
860,O2,215,749
861,CO,216,1296
862,HC,216,1838
863,LE,216,202
864,O2,216,750
865,CO,217,1297
866,HC,217,1839
867,LE,217,203
868,O2,217,751
869,CO,218,1298
870,HC,218,1840
871,LE,218,204
872,O2,218,752
873,CO,219,1299
874,HC,219,1841
875,LE,219,205
876,O2,219,753
877,CO,220,1300
878,HC,220,1842
879,LE,220,206
880,O2,220,754
881,CO,221,1301
882,HC,221,1843
883,LE,221,207
884,O2,221,755
885,CO,222,1302
886,HC,222,1844
887,LE,222,208
888,O2,222,756
889,CO,223,
890,HC,223,
891,LE,223,
892,O2,223,
893,CO,224,1303
894,HC,224,1845
895,LE,224,209
896,O2,224,757
897,CO,225,1304
898,HC,225,1846
899,LE,225,210
900,O2,225,758
901,CO,226,
902,HC,226,
903,LE,226,
904,O2,226,
905,CO,227,1305
906,HS,227,
907,LE,227,211
908,O2,227,759
909,CO,228,1306
910,HC,228,1847
911,LE,228,212
912,O2,228,760
913,CO,229,1307
914,HC,229,1848
915,LE,229,213
916,O2,229,761
917,CO,230,1308
918,HC,230,1849
919,LE,230,214
920,O2,230,762
921,CO,231,1309
922,HC,231,1850
923,LE,231,215
924,O2,231,763
925,CO,232,1310
926,HC,232,1851
927,LE,232,216
928,O2,232,764
929,CO,233,1311
930,HC,233,1852
931,LE,233,217
932,O2,233,765
933,CO,234,1312
934,HC,234,1853
935,LE,234,218
936,O2,234,766
937,CO,235,1313
938,HC,235,1854
939,LE,235,219
940,O2,235,767
941,CO,236,
942,HC,236,
943,LE,236,
944,O2,236,
945,CO,237,1314
946,HC,237,1855
947,LE,237,220
948,O2,237,768
949,CO,238,1315
950,HC,238,1856
951,LE,238,221
952,O2,238,769
953,CO,239,1316
954,HC,239,1857
955,LE,239,222
956,O2,239,
957,CO,240,1317
958,HC,240,1858
959,LE,240,223
960,O2,240,770
961,CO,241,1318
962,HC,241,1859
963,LE,241,224
964,O2,241,771
965,CO,242,1319
966,HC,242,1860
967,LE,242,225
968,O2,242,772
969,CO,243,1320
970,HC,243,1861
971,LE,243,226
972,O2,243,773
973,CO,244,1321
974,HC,244,1862
975,LE,244,227
976,O2,244,774
977,CO,245,1322
978,HC,245,1863
979,LE,245,228
980,O2,245,775
981,CO,246,1323
982,HC,246,1864
983,LE,246,229
984,O2,246,776
985,CO,247,1324
986,HC,247,1865
987,LE,247,230
988,O2,247,777
989,CO,248,1325
990,HC,248,1866
991,LE,248,231
992,O2,248,778
993,CO,249,1326
994,HC,249,1867
995,LE,249,232
996,O2,249,779
997,CO,250,
998,HC,250,
999,LE,250,
1000,O2,250,
1001,CO,251,1327
1002,HC,251,1868
1003,LE,251,233
1004,O2,251,780
1005,CO,252,1328
1006,HC,252,1869
1007,LE,252,234
1008,O2,252,781
1009,CO,253,
1010,HC,253,
1011,LE,253,
1012,O2,253,
1013,CO,254,1329
1014,HC,254,1870
1015,LE,254,235
1016,O2,254,782
1017,CO,255,1330
1018,HC,255,1871
1019,LE,255,236
1020,O2,255,783
1021,CO,256,1331
1022,HC,256,1872
1023,LE,256,237
1024,O2,256,784
1025,CO,257,1332
1026,HC,257,1873
1027,LE,257,238
1028,O2,257,785
1029,CO,258,1333
1030,HC,258,1874
1031,LE,258,239
1032,O2,258,786
1033,CO,259,1334
1034,HC,259,2492
1035,LE,259,240
1036,O2,259,787
1037,CO,260,
1038,HC,260,
1039,LE,260,
1040,O2,260,
1041,CO,261,1335
1042,HS,261,2126
1043,LE,261,241
1044,O2,261,788
1045,CO,262,1336
1046,HC,262,1876
1047,LE,262,242
1048,O2,262,789
1049,CO,263,
1050,HC,263,
1051,LE,263,
1052,O2,263,
1053,CO,264,1337
1054,HC,264,1877
1055,LE,264,243
1056,O2,264,790
1057,CO,265,1338
1058,HC,265,1878
1059,LE,265,244
1060,O2,265,791
1061,CO,266,
1062,HC,266,1879
1063,LE,266,245
1064,O2,266,792
1065,CO,267,
1066,HC,267,
1067,LE,267,
1068,O2,267,
1069,CO,268,1339
1070,HC,268,
1071,LE,268,246
1072,O2,268,793
1073,CO,269,1340
1074,HC,269,1880
1075,LE,269,247
1076,O2,269,794
1077,CO,270,1341
1078,HC,270,1881
1079,LE,270,248
1080,O2,270,795
1081,CO,271,1342
1082,HC,271,1882
1083,LE,271,249
1084,O2,271,796
1085,CO,272,1343
1086,HS,272,
1087,LE,272,250
1088,O2,272,797
1089,CO,273,1344
1090,HC,273,1883
1091,LE,273,251
1092,O2,273,798
1093,CO,274,1345
1094,HC,274,1884
1095,LE,274,252
1096,O2,274,799
1097,CO,275,
1098,HC,275,
1099,LE,275,
1100,O2,275,
1101,CO,276,1346
1102,HC,276,1885
1103,LE,276,253
1104,O2,276,800
1105,CO,277,1347
1106,HC,277,
1107,LE,277,254
1108,O2,277,801
1109,CO,278,1348
1110,HC,278,1886
1111,LE,278,255
1112,O2,278,802
1113,CO,279,1349
1114,HC,279,1887
1115,LE,279,256
1116,O2,279,803
1117,CO,280,1350
1118,HC,280,1888
1119,LE,280,257
1120,O2,280,804
1121,CO,281,1351
1122,HC,281,1889
1123,LE,281,258
1124,O2,281,805
1125,CO,282,
1126,HC,282,
1127,LE,282,
1128,O2,282,
1129,CO,283,
1130,HS,283,
1131,LE,283,
1132,O2,283,
1133,CO,284,1352
1134,HC,284,1890
1135,LE,284,259
1136,O2,284,806
1137,CO,285,
1138,HC,285,
1139,LE,285,
1140,O2,285,
1141,CO,286,1353
1142,HC,286,1891
1143,LE,286,260
1144,O2,286,807
1145,CO,287,1354
1146,HC,287,1892
1147,LE,287,261
1148,O2,287,808
1149,CO,288,1355
1150,HS,288,2128
1151,LE,288,262
1152,O2,288,809
1153,CO,289,1356
1154,HC,289,1893
1155,LE,289,263
1156,O2,289,810
1157,CO,290,1357
1158,HC,290,1894
1159,LE,290,264
1160,O2,290,811
1161,CO,291,1358
1162,HC,291,1895
1163,LE,291,265
1164,O2,291,812
1165,CO,292,1359
1166,HC,292,1896
1167,LE,292,266
1168,O2,292,813
1169,CO,293,1360
1170,HC,293,1897
1171,LE,293,267
1172,O2,293,814
1173,CO,294,1361
1174,HC,294,1898
1175,LE,294,268
1176,O2,294,
1177,CO,295,1362
1178,HC,295,1899
1179,LE,295,269
1180,O2,295,815
1181,CO,296,1363
1182,HC,296,1900
1183,LE,296,270
1184,O2,296,816
1185,CO,297,1364
1186,HC,297,1901
1187,LE,297,271
1188,O2,297,817
1189,CO,298,1365
1190,HC,298,1902
1191,LE,298,272
1192,O2,298,818
1193,CO,299,1366
1194,HC,299,1903
1195,LE,299,273
1196,O2,299,819
1197,CO,300,1367
1198,HC,300,1904
1199,LE,300,274
1200,O2,300,820
1201,CO,301,1368
1202,HC,301,1905
1203,LE,301,275
1204,O2,301,821
1205,CO,302,1369
1206,HC,302,1906
1207,LE,302,276
1208,O2,302,822
1209,CO,303,1370
1210,HC,303,1907
1211,LE,303,277
1212,O2,303,823
1213,CO,304,1371
1214,HC,304,1908
1215,LE,304,278
1216,O2,304,824
1217,CO,305,1372
1218,HC,305,1909
1219,LE,305,279
1220,O2,305,825
1221,CO,306,1373
1222,HC,306,1910
1223,LE,306,280
1224,O2,306,826
1225,CO,307,1374
1226,HC,307,1911
1227,LE,307,281
1228,O2,307,827
1229,CO,308,1375
1230,HC,308,1912
1231,LE,308,282
1232,O2,308,828
1233,CO,309,2469
1234,HC,309,2470
1235,LE,309,2468
1236,O2,309,829
1237,CO,310,
1238,HC,310,
1239,LE,310,
1240,O2,310,
1241,CO,311,1377
1242,HC,311,1914
1243,LE,311,284
1244,O2,311,830
1245,CO,312,
1246,HC,312,1915
1247,LE,312,285
1248,O2,312,831
1249,CO,313,1378
1250,HC,313,1916
1251,LE,313,286
1252,O2,313,832
1253,CO,314,
1254,HC,314,
1255,LE,314,
1256,O2,314,
1257,CO,315,1379
1258,HC,315,1917
1259,LE,315,287
1260,O2,315,833
1261,CO,316,1380
1262,HC,316,1918
1263,LE,316,288
1264,O2,316,834
1265,CO,317,1381
1266,HC,317,1919
1267,LE,317,289
1268,O2,317,835
1269,CO,318,1382
1270,HC,318,1920
1271,LE,318,290
1272,O2,318,836
1273,CO,319,1383
1274,HC,319,1921
1275,LE,319,291
1276,O2,319,837
1277,CO,320,1384
1278,HC,320,1922
1279,LE,320,292
1280,O2,320,838
1281,CO,321,1385
1282,HC,321,1923
1283,LE,321,293
1284,O2,321,839
1285,CO,322,1386
1286,HC,322,1924
1287,LE,322,294
1288,O2,322,840
1289,CO,323,1387
1290,HC,323,1925
1291,LE,323,295
1292,O2,323,841
1293,CO,324,1388
1294,HC,324,
1295,LE,324,296
1296,O2,324,842
1297,CO,325,1389
1298,HC,325,1926
1299,LE,325,297
1300,O2,325,843
1301,CO,326,1390
1302,HC,326,1927
1303,LE,326,298
1304,O2,326,844
1305,CO,327,1391
1306,HC,327,1928
1307,LE,327,299
1308,O2,327,845
1309,CO,328,1392
1310,HC,328,1929
1311,LE,328,300
1312,O2,328,846
1313,CO,329,1393
1314,HC,329,
1315,LE,329,301
1316,O2,329,847
1317,CO,330,
1318,HC,330,
1319,LE,330,
1320,O2,330,
1321,CO,331,1394
1322,HC,331,1930
1323,LE,331,302
1324,O2,331,848
1325,CO,332,1395
1326,HC,332,1931
1327,LE,332,303
1328,O2,332,849
1329,CO,333,1396
1330,HC,333,1932
1331,LE,333,304
1332,O2,333,850
1333,CO,334,1397
1334,HC,334,1933
1335,LE,334,305
1336,O2,334,851
1337,CO,335,1398
1338,HC,335,1934
1339,LE,335,306
1340,O2,335,852
1341,CO,336,1399
1342,HC,336,1935
1343,LE,336,307
1344,O2,336,853
1345,CO,337,1400
1346,HC,337,1936
1347,LE,337,308
1348,O2,337,854
1349,CO,338,1401
1350,HC,338,1937
1351,LE,338,309
1352,O2,338,855
1353,CO,339,1402
1354,HC,339,1938
1355,LE,339,310
1356,O2,339,856
1357,CO,340,1403
1358,HC,340,1939
1359,LE,340,311
1360,O2,340,857
1361,CO,341,
1362,HC,341,1940
1363,LE,341,
1364,O2,341,858
1365,CO,342,1404
1366,HC,342,1941
1367,LE,342,312
1368,O2,342,859
1369,CO,343,1405
1370,HS,343,2129
1371,LE,343,313
1372,O2,343,860
1373,CO,344,1406
1374,HC,344,1942
1375,LE,344,314
1376,O2,344,861
1377,CO,345,1407
1378,HC,345,1943
1379,LE,345,315
1380,O2,345,862
1381,CO,346,1408
1382,HC,346,1944
1383,LE,346,316
1384,O2,346,863
1385,CO,347,1409
1386,HC,347,1945
1387,LE,347,317
1388,O2,347,864
1389,CO,348,1410
1390,HC,348,1946
1391,LE,348,318
1392,O2,348,865
1393,CO,349,
1394,HC,349,1947
1395,LE,349,319
1396,O2,349,866
1397,CO,350,1411
1398,HC,350,1948
1399,LE,350,320
1400,O2,350,867
1401,CO,351,1412
1402,HC,351,1949
1403,LE,351,321
1404,O2,351,868
1405,CO,352,1413
1406,HC,352,1950
1407,LE,352,322
1408,O2,352,869
1409,CO,353,1414
1410,HC,353,1951
1411,LE,353,323
1412,O2,353,870
1413,CO,354,1415
1414,HC,354,1952
1415,LE,354,324
1416,O2,354,871
1417,CO,355,1416
1418,HC,355,1953
1419,LE,355,325
1420,O2,355,872
1421,CO,356,1417
1422,HC,356,1954
1423,LE,356,326
1424,O2,356,873
1425,CO,357,1418
1426,HC,357,
1427,LE,357,327
1428,O2,357,874
1429,CO,358,1419
1430,HC,358,1955
1431,LE,358,328
1432,O2,358,875
1433,CO,359,1420
1434,HC,359,1956
1435,LE,359,329
1436,O2,359,876
1437,CO,360,1421
1438,HC,360,1957
1439,LE,360,330
1440,O2,360,877
1441,CO,361,1422
1442,HC,361,1958
1443,LE,361,331
