id,label,serial,status,purchase_date,purchase_cost,firmware,notes,detector_model_id,configuration_id,location_id
38,PGM038,M03140417721,OP,,,,,1,1,111
39,PGM039,M03140429221,OP,,,,,1,1,95
40,PGM040,M03140485221,OP,,,,,1,1,95
41,PGM041,M03140415721,OP,,,,,1,1,98
42,PGM042,M03140419321,OP,,,,,1,1,95
43,PGM043,M03140476521,OP,,,,,1,1,95
44,PGM044,M03140428521,OP,,,,,1,1,95
45,PGM045,M03140416521,OP,,,,,1,1,100
46,PGM046,M03140478821,OP,,,,,1,1,112
47,PGM047,M03140425821,OP,,,,,1,1,95
48,PGM048,M03140412921,OP,,,,,1,1,40
49,PGM049,M03140430921,OP,,,,,1,1,95
50,PGM050,M03140413921,OP,,,,,1,1,95
51,PGM051,M03140431121,OP,,,,,1,1,95
52,PGM052,M03140432421,OP,,,,,1,1,95
53,PGM053,M03140435621,OP,,,,,1,1,95
54,PGM054,M03140426721,OP,,,,,1,1,95
55,PGM055,M03140481021,OP,,,,,1,1,95
56,PGM056,M03140428421,OP,,,,,1,1,95
57,PGM057,M03140413121,OP,,,,,1,1,106
58,PGM058,M03140486121,OP,,,,,1,1,95
59,PGM059,M03140478521,OP,,,,,1,1,98
60,PGM060,M03140419121,OP,,,,,1,1,95
61,PGM061,M03140481821,OP,,,,,1,1,95
62,PGM062,M03140423121 ,OP,,,,,1,1,111
63,PGM063,M03140431321,OP,,,,,1,1,111
64,PGM064,XXX-00002,OP,,,,,1,1,110
65,PGM065,M03140431521,OP,,,,,1,1,95
66,PGM066,M03140428221,OP,,,,,1,1,23
67,PGM067,XXX-00003,OP,,,,,1,1,95
68,PGM068,M03140427921,OP,,,,,1,1,41
69,PGM069,M03140414421,OP,,,,,1,1,54
70,PGM070,M03140415921,OP,,,,,1,1,95
71,PGM071,M03140431021,OP,,,,,1,1,95
72,PGM072,M03140476921,OP,,,,,1,1,100
73,PGM073,M03140415121,OP,,,,,1,1,95
74,PGM074,M03140480321,OP,,,,,1,1,97
75,PGM075,M03140428021,OP,,,,,1,1,95
76,PGM076,M03140428121,OP,,,,,1,1,27
77,PGM077,M03140420821,OP,,,,,1,1,95
78,PGM078,M03140480521,OP,,,,,1,1,95
79,PGM079,M03140486521,OP,,,,,1,1,33
80,PGM080,M02140433221,OP,,,,,1,1,106
81,PGM081,M03140432321,OP,,,,,1,1,95
82,PGM082,M03140434621,OP,,,,,1,1,98
83,PGM083,M03140420921,OP,,,,,1,2,95
84,PGM084,M03140435021,OP,,,,,1,1,98
85,PGM085,M03140431421,OP,,,,,1,1,95
86,PGM086,M03140485921,OP,,,,,1,1,40
87,PGM087,M03140421521,OP,,,,,1,1,95
88,PGM088,M03140486621,OP,,,,,1,1,95
89,PGM089,M03140426221,OP,,,,,1,1,95
90,PGM090,M03140422121,OP,,,,,1,1,95
91,PGM091,M03140434421,OP,,,,,1,1,95
92,PGM092,M03140433421,OP,,,,,1,1,95
93,PGM093,M03140433521,OP,,,,,1,1,100
94,PGM094,M03140486821,OP,,,,,1,1,95
95,PGM095,M03140427821,OP,,,,,1,1,95
96,PGM096,M03140482921,OP,,,,,1,1,95
97,PGM097,M03140426121,OP,,,,,1,1,95
98,PGM098,M03140435921,OP,,,,,1,1,95
99,PGM099,M03140425021,OP,,,,,1,1,95
100,PGM100,M03140421921,OP,,,,,1,1,8
101,PGM101,M03140484921,OP,,,,,1,1,40
102,PGM102,M03140425421,OP,,,,,1,1,95
103,PGM103,M03140479521,OP,,,,,1,1,40
104,PGM104,M03140480421,OP,,,,,1,1,95
105,PGM105,M03140424921,OP,,,,,1,1,95
106,PGM106,M03140416721,OP,,,,,1,1,95
107,PGM107,M03140479421,OP,,,,,1,1,95
108,PGM108,M03140480821,OP,,,,,1,1,95
109,PGM109,M03140483821,OP,,,,,1,1,95
110,PGM110,M03140418021,OP,,,,,1,1,95
111,PGM111,M03140426921,OP,,,,,1,1,95
112,PGM112,M03140415821,OP,,,,,1,1,95
113,PGM113,M03140479021,OP,,,,,1,1,95
114,PGM114,M03140420621,OP,,,,,1,1,95
115,PGM115,M03140428821,OP,,,,,1,1,106
116,PGM116,M03140414521,OP,,,,,1,1,95
117,PGM117,M03140485321,OP,,,,,1,1,111
118,PGM118,M03140484021,OP,,,,,1,1,95
119,PGM119,M03140480921,OP,,,,,1,1,95
120,PGM120,XXX-00004,OP,,,,,1,1,110
121,PGM121,M03140478021,OP,,,,,1,1,95
122,PGM122,M03140413521,OP,,,,,1,1,95
123,PGM123,M03140420521,OP,,,,,1,1,95
124,PGM124,M03140419021,OP,,,,,1,1,6
125,PGM125,M03140412621,OP,,,,,1,1,95
126,PGM126,M03140417621,OP,,,,,1,1,95
127,PGM127,M03140422421,OP,,,,,1,1,95
128,PGM128,M03140416321,OP,,,,,1,1,96
129,PGM129,M03140414221,OP,,,,,1,1,106
130,PGM130,M02140484321,OP,,,,,1,1,95
131,PGM131,M03140482621,OP,,,,,1,1,106
132,PGM132,M02140416221,OP,,,,,1,1,95
133,PGM133,M03140483321,OP,,,,,1,1,95
134,PGM134,M03140425121,OP,,,,,1,1,95
135,PGM135,M03140477021,OP,,,,,1,1,95
136,PGM136,M03140477521,OP,,,,,1,1,95
137,PGM137,M03140413321,OP,,,,,1,1,95
138,PGM138,XXX-00005,OP,,,,,1,1,110
139,PGM139,M03140482421,OP,,,,,1,1,95
140,PGM140,M03140458921,OP,,,,,1,1,95
141,PGM141,M03140481721,OP,,,,,1,1,95
142,PGM142,M03140482021,OP,,,,,1,1,95
143,PGM143,M03140478721,OP,,,,,1,1,95
144,PGM144,M03140413221,OP,,,,,1,1,95
145,PGM145,M03140418121,OP,,,,,1,1,95
146,PGM146,M03140480121,OP,,,,,1,1,95
147,PGM147,M03140377721,OP,,,,,1,1,98
148,PGM148,M03140458321,OP,,,,,1,1,95
149,PGM149,XXX-00006,OP,,,,,1,1,110
150,PGM150,M03140452921,OP,,,,,1,1,95
151,PGM151,M03140479721,OP,,,,,1,1,95
152,PGM152,M03140458821,OP,,,,,1,1,95
153,PGM153,M03140456521,OP,,,,,1,1,95
154,PGM154,M03140456221,OP,,,,,1,1,95
155,PGM155,M03140457921,OP,,,,,1,1,95
156,PGM156,M03140417021,OP,,,,,1,1,95
157,PGM157,M03140480721,OP,,,,,1,1,106
158,PGM158,XXX-00007,OP,,,,,1,1,110
159,PGM159,M03140424721,OP,,,,,1,1,95
160,PGM160,M03140475821,OP,,,,,1,1,98
161,PGM161,XXX-00008,OP,,,,,1,1,110
162,PGM162,M03140486421,OP,,,,,1,2,95
163,PGM163,M03140477321,OP,,,,,1,1,95
164,PGM164,M03140455521,OP,,,,,1,1,98
165,PGM165,M03140435221,OP,,,,,1,1,95
166,PGM166,M03140448921,OP,,,,,1,1,95
167,PGM167,M03140453521,OP,,,,,1,1,95
168,PGM168,M03140416821,OP,,,,,1,1,95
169,PGM169,M03140419521,OP,,,,,1,1,114
170,PGM170,M03140420321,OP,,,,,1,1,95
171,PGM171,M03140423621,OP,,,,,1,1,95
172,PGM172,M03140484821,OP,,,,,1,1,95
173,PGM173,M03140485521,OP,,,,,1,1,95
174,PGM174,M03140452221,OP,,,,,1,1,95
175,PGM175,M03140422621,OP,,,,,1,1,95
176,PGM176,M03140454221,OP,,,,,1,1,95
177,PGM177,M03140459021,OP,,,,,1,1,95
178,PGM178,M03140450621,OP,,,,,1,1,95
179,PGM179,M03140475721,OP,,,,,1,1,95
180,PGM180,M03140425921,OP,,,,,1,1,100
181,PGM181,M03140478321,OP,,,,,1,1,95
182,PGM182,M03140453021,OP,,,,,1,1,40
183,PGM183,M03140477121,OP,,,,,1,1,99
184,PGM184,M03140476321,OP,,,,,1,1,95
185,PGM185,M03140450121,OP,,,,,1,1,111
186,PGM186,M03140421321,OP,,,,,1,1,95
187,PGM187,M03140435421,OP,,,,,1,1,95
188,PGM188,M03140414121,OP,,,,,1,1,40
189,PGM189,M03140419221,OP,,,,,1,1,98
190,PGM190,M03140433021,OP,,,,,1,1,95
191,PGM191,M03140423321,OP,,,,,1,1,95
192,PGM192,M03140432721,OP,,,,,1,1,95
193,PGM193,M03140427021,OP,,,,,1,1,103
194,PGM194,XXX-00009,OP,,,,,1,1,110
195,PGM195,M03140432221,OP,,,,,1,1,95
196,PGM196,M03140417921,OP,,,,,1,1,95
197,PGM197,M03140481321,OP,,,,,1,1,95
198,PGM198,M03140416121,OP,,,,,1,1,95
199,PGM199,M03140428321,OP,,,,,1,1,95
200,PGM200,M03140419821,OP,,,,,1,1,95
201,PGM201,M03140455621,OP,,,,,1,1,95
202,PGM202,M03140423821,OP,,,,,1,1,95
203,PGM203,M03140454521,OP,,,,,1,1,54
204,PGM204,M03140457521,OP,,,,,1,1,95
205,PGM205,M03140425221,OP,,,,,1,1,111
206,PGM206,M03140418321,OP,,,,,1,1,95
207,PGM207,M03140455221,OP,,,,,1,1,95
208,PGM208,M03140433621,OP,,,,,1,1,95
209,PGM209,M03140454921,OP,,,,,1,1,95
210,PGM210,M03140434021,OP,,,,,1,1,95
211,PGM211,M03140434121,OP,,,,,1,1,111
212,PGM212,XXX-00010,OP,,,,,1,1,95
213,PGM213,M03140460021,OP,,,,,1,1,95
214,PGM214,M03140476721,OP,,,,,1,1,54
215,PGM215,M03140420721,OP,,,,,1,1,95
216,PGM216,M03140482821,OP,,,,,1,1,111
217,PGM217,M03140434521,OP,,,,,1,1,95
218,PGM218,M03140418821,OP,,,,,1,1,99
219,PGM219,M03140484721,OP,,,,,1,1,104
220,PGM220,M03140421721,OP,,,,,1,1,95
221,PGM221,M03140429421,OP,,,,,1,1,95
222,PGM222,M03140432921,OP,,,,,1,1,95
223,PGM223,XXX-00011,OP,,,,,1,1,110
224,PGM224,M03140421821,OP,,,,,1,1,40
225,PGM225,M03140450821,OP,,,,,1,1,106
226,PGM226,M03140427621,OP,,,,,1,1,95
227,PGM227,M03140479621,OP,,,,,1,2,95
228,PGM228,M03140458421,OP,,,,,1,1,95
229,PGM229,M03140432021,OP,,,,,1,1,104
230,PGM230,M03140459221,OP,,,,,1,1,95
231,PGM231,M03140422321,OP,,,,,1,1,111
232,PGM232,M03140418721,OP,,,,,1,1,95
233,PGM233,M03140454721,OP,,,,,1,1,95
234,PGM234,M03140485721,OP,,,,,1,1,111
235,PGM235,M03140425721,OP,,,,,1,1,95
236,PGM236,M03140432821,OP,,,,,1,1,95
237,PGM237,M03140450721,OP,,,,,1,1,95
238,PGM238,M03140413621,OP,,,,,1,1,95
239,PGM239,M03149414721,OP,,,,,1,1,95
240,PGM240,M03140434221,OP,,,,,1,1,112
241,PGM241,M03140459921,OP,,,,,1,1,95
242,PGM242,M03140452021,OP,,,,,1,1,95
243,PGM243,M03140456321,OP,,,,,1,1,95
244,PGM244,M03140482721,OP,,,,,1,1,95
245,PGM245,M03140480021,OP,,,,,1,1,106
246,PGM246,M03140449321,OP,,,,,1,1,95
247,PGM247,M03140416621,OP,,,,,1,1,95
248,PGM248,M03140450321,OP,,,,,1,1,95
249,PGM249,M03140482321,OP,,,,,1,1,95
250,PGM250,XXX-00013,OP,,,,,1,1,110
251,PGM251,M03140431921,OP,,,,,1,1,99
252,PGM252,M03140422721,OP,,,,,1,1,95
253,PGM253,XXX-00014,OP,,,,,1,1,110
254,PGM254,M03140422221`,OP,,,,,1,1,98
255,PGM255,M03140425621,OP,,,,,1,1,95
256,PGM256,M02140424221,OP,,,,,1,1,95
257,PGM257,M03140485021,OP,,,,,1,1,95
258,PGM258,M03140457321,OP,,,,,1,1,38
259,PGM259,M03140435321,OP,,,,,1,1,95
260,PGM260,XXX-00015,OP,,,,,1,1,110
261,PGM261,M03140416421,OP,,,,,1,2,9
262,PGM262,M03140418221,OP,,,,,1,1,95
263,PGM263,XXX-00016,OP,,,,,1,1,110
264,PGM264,M03140417421,OP,,,,,1,1,95
265,PGM265,M03140426621,OP,,,,,1,1,95
266,PGM266,M03140434721,OP,,,,,1,1,95
267,PGM267,XXX-00017,OP,,,,,1,1,110
268,PGM268,M03140427121,OP,,,,,1,1,95
269,PGM269,M03140476421,OP,,,,,1,1,95
270,PGM270,M03140417121,OP,,,,,1,1,95
271,PGM271,M03140484621,OP,,,,,1,1,95
272,PGM272,M03140413821,OP,,,,,1,2,9
273,PGM273,M03140476121,OP,,,,,1,1,95
274,PGM274,M03140433321,OP,,,,,1,1,95
275,PGM275,M03140433121,OP,,,,,1,1,33
276,PGM276,M03140486221,OP,,,,,1,1,95
277,PGM277,M03140484221,OP,,,,,1,1,98
278,PGM278,M03140485621,OP,,,,,1,1,95
279,PGM279,M03140431221,OP,,,,,1,1,95
280,PGM280,M03140477621,OP,,,,,1,1,95
281,PGM281,M03140421021,OP,,,,,1,1,54
282,PGM282,XXX-00018,OP,,,,,1,1,110
283,PGM283,M03140476021,OP,,,,,1,2,95
284,PGM284,M03140421621,OP,,,,,1,1,95
285,PGM285,XXX-00019,OP,,,,,1,1,110
286,PGM286,M03140418421,OP,,,,,1,1,40
287,PGM287,M03140481621,OP,,,,,1,1,100
288,PGM288,M03140484421,OP,,,,,1,2,113
289,PGM289,M03140450921,OP,,,,,1,1,95
290,PGM290,M03140413421,OP,,,,,1,1,100
291,PGM291,M03140419421,OP,,,,,1,1,95
292,PGM292,M03140485421,OP,,,,,1,1,95
293,PGM293,M03140459621,OP,,,,,1,1,40
294,PGM294,M03140427421,OP,,,,,1,1,100
295,PGM295,M03140428721,OP,,,,,1,1,95
296,PGM296,M03140423421,OP,,,,,1,1,19
297,PGM297,M03140433821,OP,,,,,1,1,95
298,PGM298,M03140416021,OP,,,,,1,1,95
299,PGM299,M03140415521,OP,,,,,1,1,95
300,PGM300,M03140422821,OP,,,,,1,1,95
301,PGM301,M03140478621,OP,,,,,1,1,95
302,PGM302,M02140477221,OP,,,,,1,1,54
303,PGM303,M03140414821,OP,,,,,1,1,95
304,PGM304,M03140449121,OP,,,,,1,1,100
305,PGM305,M03140483221,OP,,,,,1,1,95
306,PGM306,M03140426821,OP,,,,,1,1,98
307,PGM307,M03140451221,OP,,,,,1,1,19
308,PGM308,M03140426421,OP,,,,,1,1,95
309,PGM309,M03140458521,OP,,,,,1,1,95
310,PGM310,XXX-00020,OP,,,,,1,1,110
311,PGM311,M03140459321,OP,,,,,1,1,103
312,PGM312,M03140455421,OP,,,,,1,1,95
313,PGM313,M03140415421,OP,,,,,1,1,95
314,PGM314,M03140435721,OP,,,,,1,1,110
315,PGM315,M03140431621,OP,,,,,1,1,95
316,PGM316,M03140455021,OP,,,,,1,1,95
317,PGM317,M03140486021,OP,,,,,1,1,95
318,PGM318,M03140452721,OP,,,,,1,1,95
319,PGM319,M03140448821,OP,,,,,1,1,95
320,PGM320,M03140484121,OP,,,,,1,1,7
321,PGM321,M03140419721,OP,,,,,1,1,95
322,PGM322,M03140423021,OP,,,,,1,1,24
323,PGM323,M03140426321,OP,,,,,1,1,95
324,PGM324,M03140413021,OP,,,,,1,1,95
325,PGM325,M03140420121,OP,,,,,1,1,95
326,PGM326,M03140429321,OP,,,,,1,1,95
327,PGM327,M03140424121,OP,,,,,1,1,104
328,PGM328,M03140426021,OP,,,,,1,1,95
329,PGM329,M03140422021,OP,,,,,1,1,98
330,PGM330,XXX-00022,OP,,,,,1,1,110
331,PGM331,M03140481921,OP,,,,,1,1,95
332,PGM332,M03140420221,OP,,,,,1,1,95
333,PGM333,M03140479821,OP,,,,,1,1,95
334,PGM334,M03140484521,OP,,,,,1,1,98
335,PGM335,M03140414921,OP,,,,,1,1,95
336,PGM336,M03140486721,OP,,,,,1,1,95
337,PGM337,M03140424521,OP,,,,,1,1,95
338,PGM338,M03140479921,OP,,,,,1,1,99
339,PGM339,M03101845621,OP,,,,,1,1,95
340,PGM340,M03104018621,OP,,,,,1,1,95
341,PGM341,M03140449721,OP,,,,,1,1,104
342,PGM342,M03140423921,OP,,,,,1,1,95
343,PGM343,M03140480221,OP,,,,,1,2,9
344,PGM344,M03140417321,OP,,,,,1,1,95
345,PGM345,M03140485121,OP,,,,,1,1,111
346,PGM346,M03140402521,OP,,,,,1,1,95
347,PGM347,M03140456721,OP,,,,,1,1,95
348,PGM348,M03140475921,OP,,,,,1,1,95
349,PGM349,M03140412521,OP,,,,,1,1,104
350,PGM350,M03140476621,OP,,,,,1,1,95
351,PGM351,M03140434921,OP,,,,,1,1,95
352,PGM352,M03140424821,OP,,,,,1,1,111
353,PGM353,M03140435821,OP,,,,,1,1,95
354,PGM354,M03140449221,OP,,,,,1,1,95
355,PGM355,M03140434321,OP,,,,,1,1,95
356,PGM356,M03140419921,OP,,,,,1,1,95
357,PGM357,M03140475021,OP,,,,,1,1,95
358,PGM358,M03140477921,OP,,,,,1,1,95
359,PGM359,M03140421121,OP,,,,,1,1,95
360,PGM360,M03140422921,OP,,,,,1,1,95
361,PGM361,M03140417221,OP,,,,,1,1,103
362,PGM362,M03140415221,OP,,,,,1,1,95
363,PGM363,M03140422521,OP,,,,,1,1,106
364,PGM364,M03140460221,OP,,,,,1,1,104
365,PGM365,M03140483921,OP,,,,,1,1,11
366,PGM366,M0314042521,OP,,,,,1,1,104
367,PGM367,M03140448721,OP,,,,,1,1,111
368,PGM368,M03140453421,OP,,,,,1,1,100
369,PGM369,M03140449421,OP,,,,,1,1,95
370,PGM370,M03140459721,OP,,,,,1,1,95
371,PGM371,M03140457621,OP,,,,,1,1,95
372,PGM372,M03140452121,OP,,,,,1,1,95
373,PGM373,M03140452321,OP,,,,,1,1,100
374,PGM374,M03140451421,OP,,,,,1,1,95
375,PGM375,M03140454621,OP,,,,,1,1,95
376,PGM376,M03140457821,OP,,,,,1,2,95
377,PGM377,M03140460121,OP,,,,,1,1,97
378,PGM378,M03140451521,OP,,,,,1,1,95
379,PGM379,XXX-00023,OP,,,,,1,1,110
380,PGM380,M03140449821,OP,,,,,1,1,111
381,PGM381,M03140421221,OP,,,,,1,1,54
382,PGM382,M03140416921,OP,,,,,1,1,95
383,PGM383,M03140459121,OP,,,,,1,1,100
384,PGM384,M03140454121,OP,,,,,1,1,95
385,PGM385,M03140457021,OP,,,,,1,1,95
386,PGM386,M03140427521,OP,,,,,1,1,95
387,PGM387,M03140481221,OP,,,,,1,1,95
388,PGM388,M03140453321,OP,,,,,1,1,95
389,PGM389,M03140455821,OP,,,,,1,1,95
390,PGM390,M03140459521,OP,,,,,1,1,95
391,PGM391,M03140451821,OP,,,,,1,1,95
392,PGM392,M03140459821,OP,,,,,1,1,95
393,PGM393,M03140454821,OP,,,,,1,1,95
394,PGM394,M03140450221,OP,,,,,1,1,99
395,PGM395,M03140455121,OP,,,,,1,1,95
396,PGM396,M03140451321,OP,,,,,1,1,98
397,PGM397,M03140452621,OP,,,,,1,1,95
398,PGM398,M03140457421,OP,,,,,1,1,40
399,PGM399,M03140457221,OP,,,,,1,1,95
400,PGM400,M03140436121,OP,,,,,1,1,98
401,PGM401,M03140431721,OP,,,,,1,1,95
402,PGM402,M03101845021,OP,,,,,1,1,95
403,PGM403,M03101845521,OP,,,,,1,1,106
404,PGM404,M03140479121,OP,,,,,1,1,95
405,PGM405,M03140435121,OP,,,,,1,1,95
406,PGM406,M03101845421,OP,,,,,1,1,40
407,PGM407,M03140455921,OP,,,,,1,1,95
408,PGM408,M03140454321,OP,,,,,1,1,95
409,PGM409,M03140417821,OP,,,,,1,1,95
410,PGM410,M03140430821,OP,,,,,1,1,95
411,PGM411,M03101845321,OP,,,,,1,1,112
412,PGM412,M03101845721,OP,,,,,1,1,95
413,PGM413,M03101845221,OP,,,,,1,1,95
414,PGM414,M03140463121,OP,,,,,1,2,95
415,PGM415,M03140464721,OP,,,,,1,2,95
416,PGM416,M03140463721,OP,,,,,1,2,95
417,PGM417,M03140462821,OP,,,,,1,2,95
418,PGM418,M03140464621,OP,,,,,1,2,95
419,PGM419,M03140463421,OP,,,,,1,2,9
420,PGM420,M03140462121,OP,,,,,1,2,95
421,PGM421,M03140463521,OP,,,,,1,2,95
422,PGM422,M03140462621,OP,,,,,1,2,95
423,PGM423,M03140464321,OP,,,,,1,2,111
424,PGM424,M03140462521,OP,,,,,1,2,113
425,PGM425,M03140464421,OP,,,,,1,2,95
426,PGM426,M03140464521,OP,,,,,1,2,95
427,PGM427,M03140464121,OP,,,,,1,2,9
428,PGM428,M03140462321,OP,,,,,1,2,9
429,PGM429,M03140464221,OP,,,,,1,2,95
430,PGM430,M03140449621,OP,,,,,1,1,95
431,PGM431,M03140454021,OP,,,,,1,1,95
432,PGM432,M03140239921,OP,,,,,1,1,95
433,PGM433,MO3140392721,OP,,,,,1,1,95
434,PGM434,M03140436921,OP,,,,,1,1,95
435,PGM435,M03140465321,OP,,,,,1,2,95
436,PGM436,M03140467321,OP,,,,,1,2,95
437,PGM437,M03140467721,OP,,,,,1,2,95
438,PGM438,M03140465521,OP,,,,,1,2,115
439,PGM439,M03140448621,OP,,,,,1,1,104
440,PGM440,M03140481521,OP,,,,,1,1,98
441,PGM441,M03140453721,OP,,,,,1,1,95
442,PGM442,M03140403721,OP,,,,,1,1,95
443,PGM443,M03140488021,OP,,,,,1,1,111
444,PGM444,M03140489621,OP,,,,,1,1,95
445,PGM445,M03140489521,OP,,,,,1,1,95
446,PGM446,M03140488721,OP,,,,,1,1,97
447,PGM447,M03140487321,OP,,,,,1,1,95
448,PGM448,M03140489121,OP,,,,,1,1,95
449,PGM449,M03140487621,OP,,,,,1,1,95
450,PGM450,M03140489021,OP,,,,,1,1,97
451,PGM451,M03140488821,OP,,,,,1,1,95
452,PGM452,M03140488221,OP,,,,,1,1,98
453,PGM453,M03140488521,OP,,,,,1,1,111
454,PGM454,M03140488121,OP,,,,,1,1,95
455,PGM455,M03140489221,OP,,,,,1,1,95
456,PGM456,M03140489421,OP,,,,,1,1,95
457,PGM457,M03140488321,OP,,,,,1,1,96
458,PGM458,M03140487421,OP,,,,,1,1,99
459,PGM459,M03140488421,OP,,,,,1,1,95
460,PGM460,M03140487721,OP,,,,,1,1,95
461,PGM461,M03140487821,OP,,,,,1,1,95
462,PGM462,M03140488621,OP,,,,,1,1,95
463,PGM463,M03140487921,OP,,,,,1,1,99
464,PGM464,M03140487221,OP,,,,,1,1,95
465,PGM465,M03140487521,OP,,,,,1,1,95
466,PGM466,M03140488921,OP,,,,,1,1,13
467,PGM467,M0314-489321,OP,,,,,1,1,95
468,PGM468,M03140452821,OP,,,,,1,1,95
469,PGM469,M03140437421,OP,,,,,1,1,99
470,PGM470,M03140403521,OP,,,,,1,1,95
471,PGM471,M03140437021,OP,,,,,1,1,100
472,PGM472,M03140436521,OP,,,,,1,1,95
473,PGM473,M03140394021,OP,,,,,1,1,95
474,PGM474,M03140437221,OP,,,,,1,1,97
475,PGM475,M03140403221,OP,,,,,1,1,106
476,PGM476,M03240438021,OP,,,,,1,1,95
477,PGM477,M03140008921,OP,,,,,1,2,95
478,PGM478,M03101845121,OP,,,,,1,1,95
479,PGM479,M03101378621,OP,,,,,1,1,95
480,PGM480,M03140436321,OP,,,,,1,1,95
481,PGM481,M02140483121,OP,,,,,1,1,106
482,PGM482,M03140238621,OP,,,,,1,1,95
483,PGM483,M03140437721,OP,,,,,1,1,95
484,PGM484,M03140393121,OP,,,,,1,1,95
485,PGM485,M03140392821,OP,,,,,1,1,95
486,PGM486,M03140393921,OP,,,,,1,1,95
487,PGM487,M03140436821,OP,,,,,1,1,95
488,PGM488,M03140404721,OP,,,,,1,1,95
489,PGM489,M03140239621,OP,,,,,1,1,95
490,PGM490,M03140240421,OP,,,,,1,1,95
491,PGM491,M03140393721,OP,,,,,1,1,95
492,PGM492,M03140393221,OP,,,,,1,1,95
493,PGM493,M03140393321,OP,,,,,1,1,95
494,PGM494,M03140240021,OP,,,,,1,1,95
495,PGM495,M03140403421,OP,,,,,1,1,95
496,PGM496,M03140438221,OP,,,,,1,1,95
497,PGM497,M03140240121,OP,,,,,1,1,95
498,PGM498,M03140437321,OP,,,,,1,1,95
499,PGM499,M03140404321,OP,,,,,1,1,95
500,PGM500,M03140437521,OP,,,,,1,1,95
501,PGM501,M03140438121,OP,,,,,1,1,95
502,PGM502,M03140437621,OP,,,,,1,1,95
503,PGM503,M03140240321,OP,,,,,1,1,95
504,PGM504,M03140404421,OP,,,,,1,1,95
505,PGM505,M03140436421,OP,,,,,1,1,95
506,PGM506,M03140436721,OP,,,,,1,1,95
507,PGM507,M03140436621,OP,,,,,1,1,95
508,PGM508,M03140404521,OP,,,,,1,1,95
509,PGM509,M03140405021,OP,,,,,1,1,95
510,PGM510,M03140238521,OP,,,,,1,1,95
511,PGM511,M03140404621,OP,,,,,1,1,95
512,PGM512,M03140436221,OP,,,,,1,1,95
513,PGM513,M03140392921,OP,,,,,1,1,95
514,PGM514,M03140240221,OP,,,,,1,1,95
515,PGM515,M03140239821,OP,,,,,1,1,95
516,PGM516,M03140393621,OP,,,,,1,1,95
517,PGM517,M03140393021,OP,,,,,1,1,95
518,PGM518,M03140437921,OP,,,,,1,1,95
519,PGM519,M03140493421,OP,,,,,1,1,95
520,PGM520,M03140403321,OP,,,,,1,1,95
521,PGM521,M03140437821,OP,,,,,1,1,95
522,PGM522,M03140403121,OP,,,,,1,1,95
523,PGM523,M03140404921,OP,,,,,1,1,95
524,PGM524,M03140024421,OP,,,,,1,2,95
525,PGM525,M03140403621,OP,,,,,1,1,95
526,PGM526,M03140415021,OP,,,,,1,1,95
527,PGM527,M03140456821,OP,,,,,1,1,111
528,PGM528,M03140449921,OP,,,,,1,1,111
529,PGM529,XXX-00024,OP,,,,,1,1,95
530,PGM530,M03140451921,OP,,,,,1,1,95
531,PGM531,M03140436021,OP,,,,,1,1,95
532,PGM532,M03140458021,OP,,,,,1,1,95
533,PGM533,M03140449021,OP,,,,,1,1,95
