id,label,address,location_type,station,priority
56,FS62,"20-32 Birdwood Ave, Norlane 3214",ST,Corio,1
57,FS63,"69 McKillop St, Geelong 3220",ST,Geelong City,1
58,FS64,"2-4 Reynolds Rd, Belmont 3216",ST,Belmont,1
59,FS65,,ST,Armstrong Creek,1
60,FS66,"5-11 Shell Rd, Ocean Grove 3226",ST,Ocean Grove,1
61,FS67,"1120 Sturt St, Ballarat 3350",ST,Ballarat City,1
62,FS68,"89 Ballarat-Carngham Rd, Winter Valley 3358",ST,Lucas,2
63,FS70,"61-67 Mortlake Rd, Warrnambool 3280",ST,Warrnambool,1
64,FS71,"130 Percy St, Portland 3305",ST,Portland,1
65,FS72,"338 San Mateo Ave, Mildura 3500",ST,Mildura,1
66,FS73,"145-149 Hargreaves St, Bendigo 3550",ST,Bendigo,1
67,FS74,"26-30 Handley St, Wangaratta 3677",ST,Wangaratta,1
68,FS75,"84-98 Archer Street, Shepparton 3630",ST,Shepparton,2
69,FS76,"81 Thomas Mitchell Drive, Wodonga 3690",ST,Wodonga,1
70,FS77,"158 Princes Hwy, Traralgon 3844",ST,Traralgon,1
71,FS78,"171 Princess Drive, Morwell 3840.",ST,Morwell,1
72,FS79,"77-79 Lloyd St, Moe 3825",ST,Latrobe West,1
73,FS80,"2 Belsay Place, Craigieburn 3064",ST,Craigieburn,1
74,FS81,"875 Plenty Rd, South Morang 3752",ST,South Morang,1
75,FS82,"61 Brougham St, Eltham 3095",ST,Eltham City,1
76,FS84,"29 Falconer Rd, Park Orchards 3114",ST,South Warrandyte,1
77,FS85,"296-306 Boronia Rd, Boronia 3155",ST,Boronia,1
78,FS86,"1063 Wellington Rd, Rowville 3178",ST,Rowville,1
79,FS87,"186-190 Princes Highway, Dandenong 3175",ST,Dandenong,1
80,FS88,"12-14 Belgrave Hallam Rd, Hallam 3803",ST,Hallam,1
81,FS89,"518 Springvale Rd, Springvale South 3172",ST,Springvale,1
82,FS90,"37 McLeod Rd, Carrum 3197",ST,Patterson River,1
83,FS91,"3 Cranbourne Rd, Frankston 3199",ST,Frankston,1
84,FS92,"8-10 Arundel St, Cranbourne 3977",ST,Cranbourne,1
85,FS93,"780 Princes Hwy, Pakenham 3810",ST,Pakenham,1
86,FS94,"859 Nepean Hwy, Mornington 3931",ST,Mornington,1
87,FS95,"99-101 Boneo Rd, Rosebud 3939",ST,Rosebud,1
88,FS97,,AP,Clyde North,1
89,HZ38,"26 Moray St, South Melbourne 3205",AP,South Melbourne,2
90,HZ61,"25 Mill Rd, Lara 3212 (PO Box 15 Lara Vic 3212)",AP,Lara,2
91,HZ68,"89 Ballarat-Carngham Rd, Winter Valley 3358",AP,Lucas,2
92,HZ75,"84-98 Archer Street, Shepparton 3630",AP,Shepparton,2
93,HZ88,"12-14 Belgrave Hallam Rd, Hallam 3803",AP,Hallam,2
94,POD88,"12-14 Belgrave Hallam Rd, Hallam 3803",AP,Hallam,2
95,Burnley,"450 Burnley Street, Richmond 3121",WK,Burnley,3
96,FIU,,WG,FIU,1
97,Academy,"284 Hume Hwy, Craigieburn",WG,Academy,1
98,Central,,DI,Central,2
99,Eastern,,DI,Eastern,2
100,Southern 1,,DI,Southern 1,2
101,Southern 2,,DI,Southern 2,2
102,SE Regional,,DI,SE Regional,2
103,Western 1,,DI,Western 1,2
104,Western 2,,DI,Western 2,2
105,Western 3,,DI,Western 3,2
106,Northern,,DI,Northern,2
107,NW Regional,,DI,NW Regional,2
108,Offsite Maintenance,,EX,Offsite,3
109,EVIE,,AP,Central,1
110,Unknown,,EX,Unknown,3
111,Valley,,DI,Valley,2
112,MHA,,WG,Training,1
113,CSR Kit 1,,WG,FS10,1
114,CSR Kit 2,,WG,FS10,1
115,CSR Kit 3,,WG,FS10,1
116,BA38,,AP,FS38,2
