id,report_dt,reported_by,status,fault_type,submit_notes,resolved_by,resolve_dt,resolve_notes,detector_id,report_location_id
26,2026-04-08,llf crabtree,CL,DE,"Passed Bump, but continued to alarm",Wally,2026-04-08,"Due for Cal
Serviced Unit, Checked Config, Checked sensors, Calibrated, All Ok",450,38
27,2026-04-08,??,CL,BF,failed bump,Wally,2026-04-08,"Serviced Unit, Checked Config, Checked sensors, Calibrated, All Ok",377,104
28,2026-04-08,??,OP,BF,failed bump,Wally,2026-04-08,"Serviced Unit, Checked Config, Checked sensors, Calibrated, All Ok",86,106
29,2026-04-03,FF thomson,CL,BF,FAILED BUMP X 2 HCN,Wally,2026-04-08,"Serviced Unit, Checked Config, Checked sensors, Calibrated, All Ok",381,33
30,2026-04-08,LFF KELLY,CL,WS,"WILL NOT TURN ON, NOT CHARGING",Wally,2026-04-08,"Serviced Unit, Checked Config, Checked sensors, Calibrated, All Ok REPLACED BATTERY",54,15
31,2026-04-13,??,CL,BF,FAILED BUMP X 2,Wally,2026-04-13,"Serviced Unit, Checked Config, Checked sensors, Calibrated, All Ok",406,111
32,2026-04-13,DANIEL,CL,BF,FAILED BUMP,Wally,2026-04-13,"Serviced Unit, Checked Config, Checked sensors, Calibrated, All Ok",322,111
33,2026-04-13,QFF HAMPSON,CL,BF,FAILED BUMP X 2 HCN,Wally,2026-04-13,"Serviced Unit, Checked Config, Checked sensors, Calibrated, All Ok",203,13
34,2026-04-13,??,CL,BF,failed bump x 2 hcn,Wally,2026-04-13,"Serviced Unit, Checked Config, Checked sensors, Calibrated, All Ok",304,7
35,2026-04-08,LFF BEN,CL,BF,FAILED HCN BUMP X 2,Wally,2026-04-13,"Serviced Unit, Checked Config, Checked sensors, Calibrated, All Ok",528,111
36,2026-04-10,??,CL,BF,FAILED BUMP X 2 HCN,Wally,2026-04-13,"Serviced Unit, Checked Config, Checked sensors, Calibrated, All Ok",73,104
37,2026-04-20,Sonja,CL,BF,O2 high reading,Wally,2026-04-20,"Inspected unit, re-calibrated. no fault found",675,90
38,2026-04-27,??,CL,BF,failed bump CO,Wally,2026-05-04,"Calibrated, All Ok",417,9
39,2026-04-28,??,CL,SF,CO failed,Wally,2026-05-04,Replaced Sensor and Calibrated,414,9
40,2026-05-11,??,CL,BF,failed bump,Wally,2026-05-12,No fault found,583,19
41,2026-04-17,??,CL,DE,PUMP WOULD NOT STALL,Wally,2026-04-20,"Serviced Unit, Checked config, Cleaned pump, Replaced filters, All ok",631,89
42,2026-04-17,,CL,DC,Probe quick release failed,Wally,2026-05-13,"Replaced quickrelease, Serviced Unit, Checked config, Cleaned pump, Replaced filters, All ok",626,33
43,2026-05-19,N.Perkins,CL,DE,"Nufarm Incident, Detector saturated",Wally,2026-05-20,"Repaired Unit, cleaned out pump and replaced hoses. Cleaned lamp and PID sensor. Manually spanned, all tests passed.",618,89
44,2026-05-19,N.Perkins,OP,DE,"Pump fault, PID fault",Wally,2026-05-20,"Repaired Unit, cleaned out pump and replaced hoses. Cleaned lamp and PID sensor. Manually spanned, all tests passed",623,89
45,2026-06-01,WALLY,OP,DE,POST Nufarm Incident service,,,"Repaired Unit, cleaned out pump and replaced filters. Cleaned lamp and PID sensor. Manually spanned, all tests passed",668,89
46,2026-05-26,WALLY,CL,DE,Post NUFARM incident service,,2026-05-27,"Serviced Unit, Replaced Filter and Orings, Cleaned lamp and pid sensor, all tests OK",670,89
47,2026-05-18,WALLY,CL,DE,Post NUFARM incident service,Wally,2026-05-20,"Serviced Unit, Replaced Filter and Orings, Cleaned lamp and pid sensor, all tests OK",607,89
48,2026-05-18,WALLY,CL,DE,Post NUFARM incident service,Wally,2026-05-19,"Serviced Unit, Replaced Filter and Orings, Cleaned pump, all tests OK",610,89
