id,maintenance_type,status,date_due,date_performed,performed_by,notes,detector_id
51,SV,SC,2026-02-18,,,,58
52,SV,SC,2026-12-07,,,,59
53,SV,SC,2026-05-17,,,,62
54,SV,SC,2026-05-17,,,,63
55,SV,SC,2026-04-06,,,,65
56,SV,SC,2026-01-31,,,,66
57,SV,SC,2026-01-03,,,,68
58,SV,CL,2026-01-30,2026-04-08,,"Serviced Unit, Checked Config, Checked sensors, Calibrated, All Ok",69
59,SV,SC,2026-03-04,,,,70
60,SV,SC,2026-04-22,,,,72
61,SV,CL,2025-11-26,2026-04-13,,"Serviced Unit, Checked Config, Checked sensors, Calibrated, All Ok",73
62,SV,CL,2026-07-13,2026-04-08,,"Serviced Unit, Checked Config, Checked sensors, Calibrated, All Ok",74
63,SV,SC,2026-04-28,,,,75
64,SV,SC,2026-06-29,,,,76
65,SV,SC,2025-07-05,,,,77
66,SV,SC,2026-08-06,,,,78
67,SV,CL,2025-11-13,2026-04-01,,"Serviced Unit, Checked config, 
sensors and filter, Calibrated, All ok",79
68,SV,SC,2026-03-15,,,,80
69,SV,SC,2026-01-31,,,,81
70,SV,CL,2026-04-27,2026-04-02,,"Serviced Unit, checked config, checked sensors for leakage, Calibrated, all ok",82
71,SV,CL,2026-03-08,2026-02-03,,,83
72,SV,CL,2026-03-18,2026-04-02,,"Serviced Unit, checked config, checked sensors for leakage, Calibrated, all ok",84
73,SV,CL,2025-12-11,2026-04-08,,"Serviced Unit, Checked Config, Checked sensors, Calibrated, All Ok",86
74,SV,SC,2026-05-17,,,,87
75,SV,SC,2026-05-07,,,,90
76,SV,SC,2026-10-03,,,,91
77,SV,SC,2026-11-02,,,,93
78,SV,SC,2026-04-21,,,,94
79,SV,SC,2026-07-19,,,,95
80,SV,SC,2025-05-20,,,,96
81,SV,SC,2026-08-06,,,,97
82,SV,SC,2026-03-18,,,,100
83,SV,SC,2026-07-13,,,,101
84,SV,SC,2026-08-07,,,,102
85,SV,CL,2026-04-28,2026-04-08,,"Serviced Unit, Checked Config, Checked sensors, Calibrated, All Ok",103
86,SV,SC,2025-07-21,,,,104
87,SV,SC,2026-04-28,,,,105
88,SV,SC,2026-02-06,,,,106
89,SV,SC,2026-05-20,,,,107
90,SV,CL,2026-01-31,2026-02-10,,,108
91,SV,SC,2026-08-07,,,,110
92,SV,SC,2026-02-06,,,,111
93,SV,SC,2026-07-13,,,,113
94,SV,CL,2026-02-20,2026-02-09,,,114
95,SV,SC,2026-05-07,,,,115
96,SV,SC,2026-05-07,,,,116
97,SV,CL,2026-02-20,2026-03-02,,,117
98,SV,SC,2026-04-27,,,,118
99,SV,SC,2026-08-10,,,,119
100,SV,SC,2026-02-06,,,,122
101,SV,SC,2026-01-31,,,,124
102,SV,SC,2025-08-07,,,,126
103,SV,SC,2026-08-09,,,,127
104,SV,SC,2025-07-21,,,,128
105,SV,CL,2026-01-31,2026-04-01,,"Serviced Unit, Checked config, 
sensors and filter, Calibrated, All ok",129
106,SV,SC,2026-12-07,,,,130
107,SV,SC,2026-03-18,,,,131
108,SV,SC,2026-08-07,,,,132
109,SV,SC,2026-03-06,,,,133
110,SV,CL,2025-02-12,2026-03-12,,,134
111,SV,SC,2026-12-07,,,,136
112,SV,SC,2026-03-06,,,,139
113,SV,SC,2026-02-06,,,,140
114,SV,SC,2025-07-21,,,,141
115,SV,SC,2026-02-06,,,,142
116,SV,SC,2026-08-25,,,,143
117,SV,SC,2026-06-17,,,,144
118,SV,SC,2026-05-07,,,,145
119,SV,SC,2026-03-06,,,,146
120,SV,SC,2026-02-20,,,,147
121,SV,CL,2025-09-24,2026-03-26,,"Serviced Unit, Checked config, 
sensors and filter, Calibrated, All ok",148
122,SV,SC,2026-08-10,,,,150
123,SV,SC,2026-08-09,,,,151
124,SV,SC,2026-08-26,,,,152
125,SV,CL,2026-08-06,2026-03-26,,"Serviced Unit, Checked config, 
sensors and filter, Calibrated, All ok",154
126,SV,SC,2026-12-05,,,,156
127,SV,SC,2025-11-14,,,,157
128,SV,SC,2025-10-30,,,,160
129,SV,SC,2026-04-23,,,,162
130,SV,SC,2026-03-19,,,,163
131,SV,SC,2026-01-25,,,,164
132,SV,SC,2026-08-06,,,,165
133,SV,CL,2026-03-19,2026-03-26,,"Serviced unit, checked sensors, filter and config. 
Calibrated, all ok",167
134,SV,SC,2025-11-12,,,,169
135,SV,SC,2026-05-13,,,,171
136,SV,SC,2026-02-06,,,,172
137,SV,SC,2026-05-07,,,,173
138,SV,SC,2026-01-31,,,,174
139,SV,SC,2026-05-20,,,,175
140,SV,SC,2026-04-28,,,,176
141,SV,SC,2026-05-07,,,,178
142,SV,CL,2026-04-28,2026-04-22,,"REPLACED HCN SENSOR, SERVICED UNIT, RESET CONFIG, CALIBRATED ALL OK",179
143,SV,SC,2026-03-16,,,,180
144,SV,CL,2026-03-18,2026-02-09,,,181
145,SV,SC,2026-08-25,,,,182
146,SV,SC,2026-01-14,,,,183
147,SV,SC,2026-12-05,,,,184
148,SV,SC,2026-06-22,,,,185
149,SV,SC,2026-08-06,,,,186
150,SV,SC,2026-02-06,,,,187
151,SV,CL,2026-03-18,2026-03-12,,,188
152,SV,SC,2026-08-09,,,,189
153,SV,SC,2026-03-16,,,,190
154,SV,SC,2026-08-04,,,,191
155,SV,CL,2026-03-03,2026-03-26,,"Serviced Unit, Checked config, 
sensors and filter, Calibrated, All ok",193
156,SV,SC,2026-03-18,,,,195
157,SV,SC,2026-05-07,,,,196
158,SV,SC,2025-03-09,,,,197
159,SV,SC,2026-05-20,,,,199
160,SV,SC,2026-08-07,,,,200
161,SV,SC,2025-08-24,,,,201
162,SV,SC,2025-11-22,,,,202
163,SV,CL,2026-04-27,2026-04-13,,"Serviced Unit, Checked Config, Checked sensors, Calibrated, All Ok",203
164,SV,SC,2026-02-06,,,,204
165,SV,CL,2026-04-03,2026-03-26,,"Serviced unit, checked sensors, config, filters all ok. Calibrated unit",205
166,SV,SC,2026-02-06,,,,206
167,SV,SC,2026-08-07,,,,207
168,SV,SC,2026-05-17,,,,209
169,SV,SC,2025-09-30,,,,210
170,SV,CL,2026-05-20,2026-03-25,,"Inspected unit and replaced battery.
Checked sensors for leakage. All ok",211
171,SV,SC,2026-03-16,,,,212
172,SV,SC,2026-06-17,,,,213
173,SV,SC,2025-12-11,,,,214
174,SV,SC,2026-07-13,,,,215
175,SV,SC,2026-05-17,,,,216
176,SV,SC,2026-08-06,,,,217
177,SV,SC,2026-04-06,,,,218
178,SV,SC,2025-07-15,,,,219
179,SV,CL,2025-11-13,2026-03-26,,"Serviced Unit, Checked config, 
sensors and filter, Calibrated, All ok",220
180,SV,SC,2026-07-14,,,,221
181,SV,CL,2025-10-22,2026-04-01,,"Serviced Unit, Checked config, 
sensors and filter, Calibrated, All ok",224
182,SV,SC,2026-12-05,,,,225
183,SV,SC,2026-04-23,,,,227
184,SV,SC,2026-07-28,,,,228
185,SV,CL,2026-05-20,2026-03-26,,"Serviced Unit, Checked config, 
sensors and filter, Calibrated, All ok",229
186,SV,SC,2026-02-06,,,,230
187,SV,SC,2026-05-17,,,,231
188,SV,SC,2025-05-20,,,,232
189,SV,SC,2026-03-06,,,,233
190,SV,SC,2026-05-17,,,,234
191,SV,SC,2025-11-26,,,,235
192,SV,SC,2026-08-07,,,,237
193,SV,CL,2026-02-08,2026-02-02,,,238
194,SV,SC,2025-10-23,,,,239
195,SV,SC,2026-01-29,,,,240
196,SV,SC,2026-08-06,,,,241
197,SV,SC,2026-03-06,,,,242
198,SV,SC,2025-05-20,,,,244
199,SV,SC,2026-01-29,,,,245
200,SV,SC,2026-02-06,,,,246
201,SV,SC,2025-02-11,,,,247
202,SV,SC,2025-09-24,,,,248
203,SV,SC,2026-05-24,,,,249
204,SV,SC,2026-07-28,,,,251
205,SV,SC,2026-08-07,,,,252
206,SV,SC,2025-02-12,,,,254
207,SV,SC,2026-04-30,,,,255
208,SV,SC,2026-02-20,,,,256
209,SV,SC,2025-09-24,,,,257
210,SV,SC,2026-12-07,,,,258
211,SV,SC,2025-05-21,,,,259
212,SV,SC,2026-08-03,,,,261
213,SV,SC,2026-05-20,,,,262
214,SV,SC,2026-04-06,,,,264
215,SV,SC,2026-03-06,,,,265
216,SV,SC,2026-03-06,,,,266
217,SV,SC,2026-02-06,,,,268
218,SV,SC,2026-01-31,,,,269
219,SV,SC,2026-04-06,,,,270
220,SV,SC,2025-05-09,,,,272
221,SV,SC,2026-05-20,,,,273
222,SV,SC,2025-11-12,,,,274
223,SV,SC,2025-05-18,,,,275
224,SV,SC,2026-12-07,,,,278
225,SV,CL,2026-02-06,2026-04-01,,"Serviced Unit, Checked config, 
sensors and filter, Calibrated, All ok",281
226,SV,SC,2025-11-12,,,,283
227,SV,SC,2026-05-17,,,,284
228,SV,SC,2026-10-03,,,,286
229,SV,SC,2026-08-07,,,,287
230,SV,SC,2026-04-22,,,,288
231,SV,SC,2026-08-10,,,,289
232,SV,SC,2026-01-30,,,,290
233,SV,SC,2026-03-18,,,,291
234,SV,SC,2026-07-19,,,,292
235,SV,CL,2025-09-25,2026-04-08,,"Serviced Unit, Checked Config, Checked sensors, Calibrated, All Ok",293
236,SV,CL,2026-04-03,2026-03-12,,,294
237,SV,SC,2026-06-17,,,,295
238,SV,CL,2026-01-30,2026-04-01,,"Serviced Unit, Checked config, 
sensors and filter, Calibrated, All ok",296
239,SV,SC,2025-05-22,,,,297
240,SV,SC,2026-07-19,,,,298
241,SV,SC,2025-05-29,,,,299
242,SV,SC,2026-05-26,,,,300
243,SV,SC,2026-08-03,,,,301
244,SV,CL,2025-02-12,2026-03-26,,"Serviced Unit, Checked config, 
sensors and filter, Calibrated, All ok",302
245,SV,SC,2026-12-07,,,,303
246,SV,CL,2026-03-16,2026-04-13,,"Serviced Unit, Checked Config, Checked sensors, Calibrated, All Ok",304
247,SV,SC,2026-06-29,,,,305
248,SV,SC,2026-01-31,,,,306
249,SV,CL,2026-03-04,2026-04-01,,"Serviced Unit, Checked config, 
sensors and filter, Calibrated, All ok",307
250,SV,SC,2026-02-06,,,,308
251,SV,SC,2026-08-07,,,,309
252,SV,CL,2025-05-12,2026-03-26,,"Serviced Unit, Checked config, 
sensors and filter, Calibrated, All ok",311
253,SV,SC,2026-08-06,,,,312
254,SV,SC,2026-01-30,,,,313
255,SV,SC,2026-07-28,,,,315
256,SV,CL,2026-03-18,2026-03-02,,,316
257,SV,SC,2026-08-07,,,,317
258,SV,SC,2026-12-05,,,,318
259,SV,SC,2025-12-11,,,,320
260,SV,SC,2026-04-06,,,,321
261,SV,CL,2025-07-10,2026-04-13,,"Serviced Unit, Checked Config, Checked sensors, Calibrated, All Ok",322
262,SV,SC,2025-05-21,,,,323
263,SV,SC,2025-07-15,,,,324
264,SV,SC,2026-04-22,,,,325
265,SV,CL,2026-02-08,2026-02-02,,,326
266,SV,CL,2026-02-20,2026-03-26,,"Serviced Unit, Checked config, 
sensors and filter, Calibrated, All ok",327
267,SV,SC,2026-02-06,,,,328
268,SV,SC,2025-05-12,,,,331
269,SV,SC,2026-08-06,,,,332
270,SV,SC,2026-02-20,,,,334
271,SV,SC,2026-09-12,,,,335
272,SV,SC,2026-03-18,,,,336
273,SV,SC,2025-04-28,,,,337
274,SV,SC,2025-02-11,,,,338
275,SV,SC,2025-08-10,,,,339
276,SV,SC,2026-07-29,,,,340
277,SV,SC,2026-02-04,,,,341
278,SV,SC,2026-05-17,,,,342
279,SV,CL,2026-04-20,2026-04-07,,"Serviced Unit, Checked Config, Calibrated, all Ok",343
280,SV,SC,2027-05-19,,,,344
281,SV,SC,2026-05-17,,,,345
282,SV,CL,2025-05-12,2026-05-27,,"Service Unit, Replaced Battery and Sensors, Calibrated all ok",346
283,SV,SC,2026-04-28,,,,347
284,SV,SC,2026-08-25,,,,348
285,SV,SC,2026-06-22,,,,349
286,SV,SC,2026-02-06,,,,350
287,SV,SC,2026-05-13,,,,351
288,SV,CL,2026-03-18,2026-02-09,,,352
289,SV,SC,2026-08-06,,,,353
290,SV,SC,2026-03-06,,,,354
291,SV,SC,2026-01-04,,,,355
292,SV,SC,2026-01-04,,,,356
293,SV,SC,2025-05-26,,,,357
294,SV,SC,2026-08-06,,,,358
295,SV,SC,2026-05-26,,,,360
296,SV,SC,2025-11-13,,,,361
297,SV,SC,2026-04-28,,,,362
298,SV,SC,2026-05-17,,,,363
299,SV,SC,2026-09-02,,,,364
300,SV,SC,2026-06-29,,,,365
301,SV,CL,2025-08-25,2026-03-26,,"Serviced Unit, Checked config, 
sensors and filter, Calibrated, All ok",366
302,SV,SC,2026-05-17,,,,367
303,SV,SC,2025-09-24,,,,368
304,SV,SC,2026-08-19,,,,369
305,SV,SC,2026-12-05,,,,370
306,SV,SC,2025-05-21,,,,371
307,SV,SC,2025-03-09,,,,372
308,SV,CL,2026-06-29,2026-04-13,,"Serviced Unit, Checked Config, Checked sensors, Calibrated, All Ok",373
309,SV,SC,2026-06-29,,,,375
310,SV,SC,2026-02-25,,,,376
311,SV,CL,2026-02-08,2026-02-02,,,377
312,SV,SC,2026-05-07,,,,378
313,SV,SC,2026-05-17,,,,380
314,SV,CL,2026-06-17,2026-04-08,,"Serviced Unit, Checked Config, Checked sensors, Calibrated, All Ok",381
315,SV,SC,2026-04-30,,,,382
316,SV,SC,2025-08-07,,,,383
317,SV,CL,2026-01-01,2026-02-23,,,384
318,SV,SC,2026-03-06,,,,385
319,SV,SC,2026-05-26,,,,386
320,SV,SC,2026-02-06,,,,387
321,SV,SC,2025-08-07,,,,388
322,SV,SC,2026-05-13,,,,389
323,SV,SC,2026-01-04,,,,390
324,SV,SC,2026-03-18,,,,391
325,SV,SC,2026-02-06,,,,392
326,SV,SC,2026-05-07,,,,393
327,SV,CL,2026-03-04,2026-04-02,,"Serviced Unit, checked config, checked sensors for leakage, Calibrated, all ok",394
328,SV,SC,2025-09-20,,,,395
329,SV,SC,2025-11-21,,,,396
330,SV,SC,2025-09-20,,,,397
331,SV,CL,2026-01-29,2026-03-26,,"Serviced Unit, Checked config, 
sensors and filter, Calibrated, All ok",398
332,SV,SC,2025-11-13,,,,399
333,SV,SC,2026-01-28,,,,400
334,SV,SC,2025-05-29,,,,401
335,SV,SC,2025-05-29,,,,402
336,SV,SC,2026-03-18,,,,403
337,SV,SC,2026-05-13,,,,404
338,SV,SC,2026-08-24,,,,405
339,SV,CL,2026-05-17,2026-04-13,,"Serviced Unit, Checked Config, Checked sensors, Calibrated, All Ok",406
340,SV,SC,2025-05-29,,,,407
341,SV,SC,2025-05-29,,,,408
342,SV,SC,2026-02-06,,,,409
343,SV,SC,2025-05-29,,,,410
344,SV,SC,2026-10-03,,,,411
345,SV,SC,2026-06-07,,,,412
346,SV,CL,2025-08-10,2026-03-26,,"Serviced Unit, Checked config, 
sensors and filter, Calibrated, All ok",413
347,SV,CL,2025-11-26,2026-05-04,,"Replaced faulty CO sensor, Serviced Unit, Checked config, Calibrated, All Ok",414
348,SV,SC,2025-02-06,,,,415
349,SV,SC,2026-02-25,,,,416
350,SV,CL,2026-03-08,2026-02-03,,,417
351,SV,SC,2025-02-06,,,,418
352,SV,CL,2026-03-08,2026-02-03,,,419
353,SV,CL,2026-03-08,2026-02-03,,,420
354,SV,CL,2026-03-08,2026-02-03,,,421
355,SV,SC,2026-06-29,,,,422
356,SV,CL,2025-11-12,2026-04-13,,"Serviced Unit, Reset Config, Cleaned Lamp, PID sensor and Pump. Replaced filters, Manually Spanned, all ok",423
357,SV,SC,2026-04-22,,,,424
358,SV,CL,2026-03-08,2026-02-03,,,425
359,SV,SC,2026-02-25,,,,426
360,SV,SC,2025-12-16,,,,427
361,SV,SC,2025-12-16,,,,428
362,SV,CL,2026-03-08,2026-02-03,,,429
363,SV,SC,2026-05-07,,,,430
364,SV,SC,2025-08-07,,,,431
365,SV,SC,2026-12-07,,,,432
366,SV,SC,2026-09-02,,,,433
367,SV,SC,2026-07-14,,,,434
368,SV,SC,2026-08-10,,,,436
369,SV,CL,2026-03-08,2026-02-03,,,437
370,SV,SC,2026-08-10,,,,438
371,SV,CL,2025-11-15,2026-03-26,,"Serviced Unit, Checked config, 
sensors and filter, Calibrated, All ok",439
372,SV,SC,2026-01-29,,,,440
373,SV,SC,2026-04-13,,,,441
374,SV,SC,2026-08-26,,,,442
375,SV,CL,2025-12-26,2026-03-27,,,443
376,SV,SC,2026-08-06,,,,444
377,SV,SC,2026-07-28,,,,445
378,SV,CL,2025-12-26,2026-03-26,,"Serviced Unit, Checked config, 
sensors and filter, Calibrated, All ok",446
379,SV,SC,2025-12-26,,,,447
380,SV,SC,2025-12-26,,,,448
381,SV,SC,2026-08-19,,,,449
382,SV,CL,2025-12-26,2026-04-08,,"Serviced Unit, Checked Config, Checked sensors, Calibrated, All Ok",450
383,SV,SC,2026-06-22,,,,451
384,SV,SC,2026-09-12,,,,452
385,SV,CL,2026-09-01,2026-04-13,,"Serviced Unit, Checked Config, Checked sensors, Calibrated, All Ok",453
386,SV,SC,2026-06-07,,,,454
387,SV,SC,2026-04-06,,,,455
388,SV,SC,2026-08-04,,,,456
389,SV,SC,2026-09-08,,,,457
390,SV,CL,2026-01-01,2026-04-02,,"Serviced Unit, Checked sensors for leakage. checked Config, calibrated, all ok",458
391,SV,SC,2026-07-13,,,,459
392,SV,SC,2026-06-17,,,,460
393,SV,SC,2026-08-06,,,,461
394,SV,SC,2026-09-01,,,,462
395,SV,SC,2026-09-01,,,,463
396,SV,SC,2026-09-01,,,,464
397,SV,SC,2026-06-29,,,,465
398,SV,SC,2026-01-14,,,,466
399,SV,SC,2026-08-07,,,,467
400,SV,SC,2026-06-17,,,,468
401,SV,SC,2026-01-31,,,,469
402,SV,SC,2026-08-09,,,,470
403,SV,SC,2026-06-02,,,,471
404,SV,SC,2026-04-02,,,,472
405,SV,SC,2026-04-30,,,,473
406,SV,CL,2026-02-11,2026-03-26,,"Serviced Unit, Checked config, 
sensors and filter, Calibrated, All ok",474
407,SV,CL,2026-01-31,2026-04-02,,"Serviced Unit, checked config, checked sensors for leakage, Calibrated, all ok",475
408,SV,SC,2026-07-29,,,,476
409,SV,SC,2026-02-06,,,,478
410,SV,CL,2026-01-04,2026-03-12,,,481
411,SV,SC,2026-05-17,,,,526
412,SV,SC,2026-05-17,,,,527
413,SV,CL,2026-05-17,2026-04-13,,"Serviced Unit, Checked Config, Checked sensors, Calibrated, All Ok",528
414,SV,SC,2026-06-04,,,,550
415,SV,SC,2026-06-04,,,,551
416,SV,SC,2026-06-04,,,,552
417,SV,CL,2026-04-20,2026-04-07,,"Serviced Unit, Checked Config, Calibrated, all Ok",553
418,SV,CL,2026-04-20,2026-04-07,,"Serviced Unit, Checked Config, Calibrated, all Ok",554
419,SV,SC,2026-04-20,,,,555
420,SV,CL,2026-04-20,2026-04-07,,"Serviced Unit, Checked Config, Calibrated, all Ok",556
421,SV,SC,2026-04-21,,,,557
422,SV,SC,2026-04-21,,,,558
423,SV,SC,2026-04-21,,,,559
424,SV,SC,2026-04-21,,,,560
425,SV,SC,2026-04-22,,,,561
426,SV,SC,2026-03-06,,,,562
427,SV,SC,2026-04-06,,,,563
428,SV,CL,2026-06-29,2026-05-04,,"Serviced Unit, Replaced O2 Sensor, Checked Config, Calibrated, All Ok",565
429,SV,SC,2026-06-29,,,,566
430,SV,SC,2026-06-29,,,,568
431,SV,SC,2026-05-07,,,,569
432,SV,SC,2026-06-29,,,,570
433,SV,SC,2026-06-29,,,,572
434,SV,SC,2026-06-29,,,,573
435,SV,SC,2026-06-29,,,,574
436,SV,SC,2026-06-29,,,,575
437,SV,SC,2026-06-29,,,,576
438,SV,SC,2026-06-29,,,,577
439,SV,SC,2026-06-29,,,,578
440,SV,SC,2026-06-29,,,,579
441,SV,SC,2026-06-29,,,,580
442,SV,SC,2026-12-07,,,,581
443,SV,SC,2026-08-07,,,,582
444,SV,SC,2026-08-07,,,,585
445,SV,SC,2026-08-03,,,,586
446,SV,CL,2026-05-10,2026-06-04,,"Service Unit, Checked config, cleaned lamp ,pid and pump. Replaced pump hoses and filters, manually spanned, all tests ok",587
447,SV,SC,2025-02-12,,,,588
448,SV,CL,2026-05-13,2026-04-08,,"Serviced Unit, Checked Config, Checked sensors, Calibrated, All Ok",589
449,SV,SC,2025-01-03,,,,590
450,SV,SC,2025-02-28,,,,591
451,SV,SC,2024-04-04,,,,592
452,SV,SC,2025-03-20,,,,593
453,SV,SC,2025-05-12,,,,594
454,SV,CL,2026-05-10,2026-06-26,,"Serviced Unit, checked config, cleaned pump. Replaced filters, All tests ok.",595
455,SV,SC,2024-10-23,,,,596
456,SV,SC,2025-02-28,,,,597
457,SV,SC,2025-07-09,,,,598
458,SV,SC,2025-02-05,,,,599
459,SV,SC,2024-10-16,,,,600
460,SV,SC,2025-07-09,,,,601
461,SV,SC,2026-04-30,,,,602
462,SV,SC,2024-08-07,,,,603
463,SV,SC,2026-02-22,,,,606
464,SV,CL,2026-05-17,2026-05-20,,"Serviced Unit, Replaced Filter and Orings, Cleaned lamp and pid sensor, all tests OK",607
465,SV,CL,2026-07-15,2026-04-27,,"Serviced Unit, Checked config, Cleaned pump, Replaced filters, All ok",608
466,SV,CL,2026-02-21,2026-03-23,,"Full Service, Filters Replaced, Pump Cleaned",609
467,SV,CL,2026-01-17,2026-03-26,,"Serviced Unit, Checked config, 
sensors and filter, Calibrated, All ok",610
468,SV,CL,2025-11-24,2026-03-22,,,611
469,SV,CL,2025-11-05,2026-11-12,,,612
470,SV,CL,2025-12-17,2026-08-20,,"Serviced Unit, Checked config, Replaced Filters and cleaned pump. Replaced SO2 sensor.",613
471,SV,CL,2025-06-10,2026-05-29,,"REPLACED HCN SENSOR, SERVICED UNIT, cleaned pump, replaced filter - Replaced torn rubber boot",614
472,SV,CL,2025-08-21,2026-05-20,,"Serviced Unit, Replaced Filter and Orings, Cleaned pump, all tests OK",615
473,SV,CL,2025-10-14,2026-04-22,,"Serviced Unit, Checked config, Cleaned pump, Replaced filters, All ok",616
474,SV,CL,2025-07-16,2026-05-28,,"Serviced Unit. Replaced Filters, CLeaned Lamp, PID and pump. Checked Config, All tests ok",617
475,SV,CL,2025-11-13,2026-05-20,,"Post NUFARM incident, Unit ingressed with water.
Serviced Unit, Checked Config, Replaced Filters, Cleaned PID, Lamp, and pump. All Tests ok",618
476,SV,SC,2026-09-26,,,,619
477,SV,CL,2026-02-03,2026-02-03,,,620
478,SV,CL,2025-04-24,2026-04-27,,"Serviced Unit, Checked config, Cleaned pump, Replaced filters, All ok",621
479,SV,CL,2025-12-10,2026-04-07,,"Serviced Unit, Reset Config, Cleaned Lamp, PID and pump. Replaced pump hoses. Manually spanned. All ok",622
480,SV,CL,2025-11-10,2026-03-27,,"Reset Config. Set measuring gas, Adjusted date $ time, Cleaned lamp, pid, and pump. Manually Spanned and auto cal'd. All ok",623
481,SV,CL,2025-11-06,2026-03-30,,"Serviced Unit, Checked config, 
sensors and filter, Calibrated, All ok",624
482,SV,SC,2025-12-03,,,,625
483,SV,CL,2025-11-10,2026-05-13,,"Serviced Unit, Checked config, Cleaned pump, Replaced filters, All ok",626
484,SV,CL,2026-07-01,2026-06-04,,"Service Unit, Checked config, cleaned lamp ,pid and pump. Replaced pump hoses and filters, manually spanned, all tests ok",627
485,SV,CL,2026-05-31,2026-06-30,,"Serviced Unit, checked config, Cleaned Lamp, PID sensor and pump. Replaced filters, Replaced pump hoses. All tests ok.",628
486,SV,SC,2026-05-06,,,,629
487,SV,CL,2026-01-29,2026-08-17,,"Serviced Unit. Checked config, Replaced filters. Cleaned lamp, pid and pump. All tests ok.",630
488,SV,CL,2026-02-05,2026-04-20,,"Serviced Unit, Checked config, Cleaned pump, Replaced filters, All ok",631
489,SV,SC,2026-02-03,,,,632
490,SV,CL,2025-11-10,2026-07-01,,"Serviced Unit, checked config, Cleaned Lamp, PID sensor and pump. Replaced filters, Replaced pump hoses. All tests ok.",633
491,SV,CL,2026-08-05,2026-08-10,,"Serviced Unit, Checked config, Cleaned lamp, pid sensor, and pump. Replaced pump hoses. Replaced broken probe. replaced filters. All tests ok",634
492,SV,SC,2026-04-14,,,,651
493,SV,SC,2026-01-24,,,,652
494,SV,SC,2026-10-03,,,,653
495,SV,CL,2026-04-14,2026-03-26,,"Serviced Unit, Checked config, 
sensors and filter, Calibrated, All ok",654
496,SV,CL,2026-09-10,2026-08-03,,"Serviced Unit, Checked Config, Replaced filters and Oring, All tests OK",655
497,SV,CL,2026-10-03,2026-05-20,,"Serviced Unit, Checked config, Replaced Filters and oring, Cleaned lamp, pid, and pump, calibrated, all tests OK",656
498,SV,CL,2026-10-03,2026-04-15,,"Serviced Unit, Reset Config, Cleaned Lamp, PID sensor and Pump. Replaced filters, Manually Spanned, all ok",657
499,SV,SC,2026-10-02,,,,658
500,SV,CL,2026-01-29,2026-04-01,,"Serviced Unit, Reset Config, Cleaned Lamp, PID sensor and Pump. Replaced filters, Manually Spanned, all ok",659
501,SV,CL,2025-12-18,2026-03-26,,"Serviced Unit, Checked config, 
sensors and filter, Calibrated, All ok",660
